Year,Month,DayPeriod,Type,Operator,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity
1989,Aug,Night,Cessna 177RG,Private,Land,North America,United States,Unknown,Unknown,Mississippi,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1943,Mar,Unknown,Douglas C-53,China National Aviation Corporation,Land,Asia,China,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,3,0,3,None Survived
2003,Nov,Afternoon,Antonov AN-26,Military - Congolese Air Force,Land,Africa,Congo,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,24,13,20,Partial Survived
1983,Mar,Unknown,de Havilland Canada DHC-6 Twin Otter 300,Bakhtar Afghan Airlines,Land,Asia,Afghanistan,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,19,0,19,None Survived
2008,Aug,Evening,Boeing B-737-219,Itek Air,Land,Asia,Kyrgyzstan,Unknown,Unknown,Unknown,Human Error,Unknown,No,Unknown,90,0,68,Partial Survived
1996,Aug,Afternoon,de Havilland Canada DHC-6 Twin Otter 300,First Air,Watery,North America,Canada,Gulf,"Markham Bay,",Unknown,Weather,Rain,No,Unknown,2,0,2,None Survived
1994,Oct,Afternoon,Antonov AN-32B,SELVA,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,10,0,10,None Survived
2001,Aug,Morning,CASA  CN-235-200,Binter Mediterráneo,Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,47,0,4,Partial Survived
1996,Oct,Night,Boeing B-707-323C,Million Air,Land,South America,Ecuador,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,30,4,None Survived
1998,Mar,Afternoon,Boeing 707-336C,Air Memphis,Land,Africa,Kenya,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,6,0,6,None Survived
1970,Dec,Unknown,Douglas DC-3,Jamair,Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,16,0,5,Partial Survived
1968,May,Afternoon,Lockheed C-130B Hercules,Military - U.S. Air Force,Land,Asia,Vietnam,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,155,0,155,None Survived
1937,Mar,Unknown,Heinkel He-111V2,Deutsche Lufthansa,Land,Africa,Gambia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1990,Dec,Unknown,IPTN 332C Super Puma,Pelita Air Service,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,0,10,Partial Survived
1927,Nov,Unknown,Douglas M-4,National Air Transport,Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1996,Apr,Afternoon,Boeing B-737-T43,Military - U.S. Air Force,Land,Europe,Croatia,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,35,0,35,None Survived
1996,Feb,Unknown,Unknown,Military - Taliban Militia,Land,Asia,Afghanistan,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,20,0,20,None Survived
1950,May,Unknown,Douglas C-47,LANSA,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,26,0,25,Partial Survived
1957,Jun,Unknown,Douglas C-47B,Swissair,Land,Europe,Switzerland,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,9,0,9,None Survived
2001,Oct,Afternoon,Cessna 172N,Aeronautical Services - Air Taxi,Land,North America,United States,Unknown,Unknown,Washington,Unknown,Unknown,No,Takeoff,3,0,3,None Survived
1983,Jul,Unknown,Ilyushin IL-62M,CAAK,Land,Africa,Guinea,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived
2005,Aug,Afternoon,Airbus A-340,Air France,Land,North America,Canada,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,309,0,0,All Survived
1977,May,Evening,Sikorsky S61L,New  York Helicopter,Land,North America,United States,Unknown,Unknown,New York,Unknown,Unknown,No,Landing,25,1,4,Partial Survived
1964,Jun,Evening,Curtiss C-46-CU,Civil Air Transport,Land,Asia,Taiwan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,57,0,57,None Survived
1958,Feb,Morning,Lockheed WV-2,Military - U.S. Navy,Land,Unknown,Unknown,Unknown,Unknown,Azores,Unknown,Unknown,No,Unknown,22,0,22,None Survived
1955,Jan,Morning,Martin 202A / DC-3,Trans World Airlines / Castleton Inc.,Land,Unknown,Kentucky,Unknown,Unknown,Covington,External,Clear,No,Unknown,15,0,15,None Survived
1987,Jan,Afternoon,Antonov AN-12,Military - Ethiopian Air Force,Land,Africa,Ethiopia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,54,0,54,None Survived
1993,Apr,Afternoon,Aerospatiale SA316B,Air Taxi - Sea PacifiInc.,Land,North America,United States,Unknown,Unknown,Colorado,Unknown,Unknown,No,En Route,4,0,3,Partial Survived
1930,Jan,Evening,Travel Air A6000A,Central  Airlines,Land,North America,United States,Unknown,Unknown,Kansas,Unknown,Unknown,No,Unknown,5,0,5,None Survived
1924,Aug,Unknown,De Havilland DH-4,US Aerial Mail Service,Land,North America,United States,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1931,Mar,Morning,Fokker F10A Trimotor,Trans Continental and Western Air,Land,North America,United States,Unknown,Unknown,Kansas,Weather,Thunderstorm,No,Unknown,8,0,8,None Survived
1966,Oct,Evening,McDonnell Douglas DC-9-14,West Coast Airlines,Land,North America,United States,Unknown,Unknown,Oregon,Weather,Rain,No,Landing,18,0,18,None Survived
1959,Nov,Night,Douglas DC-7B,National Airlines,Watery,North America,Mexico,Gulf,Gulf Of Mexico,Unknown,Unknown,Unknown,No,Unknown,42,0,42,None Survived
2000,Oct,Morning,Cessna 208B Caravan I Super Cargomaster,Empire Airlines,Land,North America,United States,Unknown,Unknown,Washington,Weather,Fog,No,Unknown,1,0,1,None Survived
1955,Mar,Unknown,Douglas DC-3,Mexicana,Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,26,0,26,None Survived
1912,Jul,Morning,Dirigible,Military - U.S. Navy,Watery,Unknown,Unknown,Ocean,Atlantic,Unknown,Unknown,Unknown,No,Unknown,5,0,5,None Survived
1970,Feb,Unknown,Cessna 402,Avia-Taxi,Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1957,Apr,Unknown,Douglas DC-3,Air France,Land,Africa,Algeria,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Takeoff,34,0,34,None Survived
1987,Jan,Unknown,Britten-Norman BN-2A-20 Islander,Trillium Air,Land,North America,Canada,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,3,0,1,Partial Survived
1932,May,Unknown,Boeing 40,PacifiAir Transport,Land,North America,United States,Unknown,Unknown,California,Weather,Fog,No,Unknown,3,0,3,None Survived
1984,Dec,Night,PA-23-250,Air Taxi - Delaware Aviation LLC,Land,North America,United States,Unknown,Unknown,New York,Weather,Fog,No,Landing,4,0,4,None Survived
1996,Feb,Night,Boeing B-757-225,"Alas Nacionales, leased from Birgen Air",Land,Unknown,Unknown,Unknown,Unknown,Domincan Republic,Unknown,Unknown,No,Unknown,189,0,189,None Survived
1946,Mar,Evening,Douglas DC-3 (C-47DL),Australian National Airways,Land,Unknown,Unknown,Unknown,Unknown,Tasmania,Unknown,Unknown,No,Takeoff,25,0,25,None Survived
2006,Apr,Night,Antonov 74TK-200,Military - Lybian Arab Air Force,Land,Africa,Cameroon,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,6,0,6,None Survived
1974,Dec,Night,McDonnell Douglas DC-8-55F,Martinair Holland NV,Land,Asia,Sri Lanka,Unknown,Unknown,Unknown,Weather,Unknown,No,Landing,191,0,191,None Survived
1970,Oct,Afternoon,Piper PA-28R,Delaware Aviation - Air Taxi,Land,North America,United States,Unknown,Unknown,Delaware,Unknown,Clear,No,Landing,2,0,2,None Survived
1942,Jan,Unknown,Short S-23 (flying boat),Qantas,Land,Unknown,Unknown,Unknown,Unknown,Timor,External,Unknown,No,Unknown,18,0,13,Partial Survived
1977,Mar,Night,McDonnell Douglas DC-8-63CF,Overseas National Airways,Land,Africa,Niger,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,2,Partial Survived
1978,Jun,Unknown,Beech Queen Air A80,Gander Aviation,Land,Unknown,Unknown,Unknown,Unknown,Newfoundland,Weather,Fog,No,Unknown,10,0,10,None Survived
1930,Oct,Unknown,Handley Page W-8,Imperial Airways,Land,Europe,France,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,6,0,3,Partial Survived
1963,Sep,Unknown,Douglas C-133A,Military - U.S. Air Force,Land,Unknown,Unknown,Unknown,Unknown,Deleware,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1998,Sep,Afternoon,Antonov AN-24RV,Lionair,Land,Asia,Sri Lanka,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,55,0,55,None Survived
1935,Jul,Unknown,Douglas DC-2,KLM Royal Dutch Airlines,Land,Europe,Switzerland,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,13,0,13,None Survived
1953,Sep,Evening,Douglas DC-3,Regina Cargo Airlines,Land,North America,United States,Unknown,Unknown,Washington,Unknown,Unknown,No,Unknown,21,0,21,None Survived
1985,Dec,Unknown,Short SC7- Skyvan,Military - Royal Nepalese Air Force,Land,Asia,Nepal,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,25,0,25,None Survived
1970,Oct,Afternoon,Martin 404,"Charter, Golden Eagle Aviation Inc.",Land,Unknown,Colorado,Unknown,Unknown,Silver Plume,Weather,Rain,No,Unknown,40,0,30,Partial Survived
1946,Mar,Unknown,Avro 691 Lancastrian 1,British Overseas Airways /Qantas,Watery,Unknown,Unknown,Ocean,Indian Ocean,Unknown,Unknown,Unknown,No,En Route,10,0,10,None Survived
1977,Sep,Afternoon,de Havilland Canada DHC-6 Twin Otter 200,Alaska Aeronautical Industries,Land,North America,United States,Unknown,Unknown,Alaska,Unknown,Unknown,No,Unknown,13,0,13,None Survived
1958,Mar,Unknown,Douglas DC-3,Indian Airlines,Land,Asia,Nepal,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived
1933,Apr,Afternoon,Goodyear-Zeppelin U.S.S. Akron (airship),Military - U.S. Navy,Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,76,0,73,Partial Survived
1949,Jan,Morning,Boeing B-29A Superfortress,Military - U.S. Air Force,Land,Europe,Scotland,Unknown,Unknown,Lochgoilhead,Unknown,Unknown,No,Unknown,20,0,20,None Survived
1945,Dec,Evening,Five Grumman TBM Avengers,Military - U.S. Navy,Land,Unknown,The Florida Coast,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,14,0,14,None Survived
1969,Feb,Morning,Beechcraft C-45H,Pudget Sound Air - Air Taxi,Land,North America,United States,Unknown,Unknown,Washington,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1978,Apr,Unknown,Cessna 402B,South PacifiIsland Airways,Land,Unknown,Unknown,Unknown,Unknown,West Samoa,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1954,Apr,Unknown,Lockheed 18 Lodestar,Societe Indochinoise de Raviteillement,Land,Asia,Laos,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,23,0,16,Partial Survived
2003,Dec,Morning,Gates Learjet 24B,Pavair,Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,En Route,2,0,2,None Survived
1951,Dec,Afternoon,Curtiss Wright C-46F,Miami Airlines,Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Landing,56,1,56,None Survived
1924,Apr,Unknown,Fokker F.III,KLM Royal Dutch Airlines,Watery,Europe,Unknown,Channel,English Channel,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1978,Nov,Unknown,de Havilland Canada DHC-6 Twin Otter 300,Air Guadeloupe,Land,Unknown,Unknown,Unknown,Unknown,West Indies,Weather,Rain,No,Unknown,20,0,15,Partial Survived
1999,Dec,Afternoon,Piper PA-31-350,Charter - Twin Air HB,Land,Europe,Sweden,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,8,0,8,None Survived
1960,Jan,Unknown,Lockheed 1049E Super Constellation,AVIANCA,Watery,Unknown,Unknown,Gulf,"Montego Bay,",Unknown,Weather,Rain,No,Landing,46,0,37,Partial Survived
1985,Dec,Evening,Douglas DC-3,Private,Land,North America,United States,Unknown,Unknown,Texas,Unknown,Unknown,No,Landing,9,0,7,Partial Survived
2005,Apr,Afternoon,de Havilland Canada DHC-6 Twin Otter 100,GT Air,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,18,0,18,None Survived
1992,Apr,Unknown,Let 410UVP,Kamchatavia,Watery,North America,US,Gulf,"Near Baykovo,",Unknown,Weather,Unknown,No,Landing,12,0,1,Partial Survived
1942,Oct,Morning,Douglas C-39-DO  (DC-2),Military - U.S. Army Air Forces,Land,North America,Puerto Rico,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,22,0,22,None Survived
1963,Mar,Unknown,Douglas DC-3,Itavia,Land,Europe,Italy,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,11,0,11,None Survived
1973,Sep,Night,Beechcraft E18S,Private Charter,Land,North America,United States,Unknown,Unknown,Louisiana,Unknown,Unknown,No,Unknown,6,0,6,None Survived
1936,Aug,Unknown,Short Kent,Imperial Airways,Land,Europe,Greece,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,11,0,2,Partial Survived
1979,Feb,Afternoon,Fokker F-27 Friendship 500,Air New Zealand,Land,Oceania,New Zealand,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,4,0,2,Partial Survived
2008,Jan,Afternoon,Mi-17 Helicopter,Military - Macedonian Air Force,Land,Europe,Macedonia,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,11,0,11,None Survived
1996,Nov,Morning,de Havilland Canada DHC-6 Twin Otter 300,ACES Colombia,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Clear,No,Takeoff,15,0,14,Partial Survived
1993,Dec,Morning,Yunshuji Y-12-II,Lao Aviation,Land,Asia,Laos,Unknown,Unknown,Unknown,Weather,Fog,No,Landing,18,0,18,None Survived
1952,Nov,Night,Douglas C-54G (DC-4),Military - U.S. Air Force,Land,North America,United States,Unknown,Unknown,Washington,Weather,Fog,Yes,Unknown,38,0,37,Partial Survived
1957,Aug,Unknown,Douglas DC-3,Indamer,Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,8,0,8,None Survived
